ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-146,Liberia,1,5/31/2000,11/21/2003,6.4115129,-9.32349205
1-147,Spain,0,10/22/1978,12/29/1982,40.396027,-3.55069256
1-147,Spain,0,12/23/1985,12/31/1987,40.396027,-3.55069256
1-147,Spain,0,6/28/1991,12/13/1991,40.396027,-3.55069256
1-148,Tunisia,0,1/28/1980,1/28/1980,34.335285,9.245259285
1-149,Gambia,0,7/30/1981,8/5/1981,13.440266,-15.4908848
1-15,"France, Thailand",0,5/7/1946,11/17/1946,46.63728,2.33826232
1-150,South Africa,0,8/7/1981,12/31/1983,-29.046185,25.06287956
1-150,South Africa,0,6/26/1985,12/31/1988,-29.046185,25.06287956
1-151,"Argentina, United Kingdom",0,5/2/1982,6/14/1982,-37.071964,-64.8545074
1-152,India,0,7/31/1982,12/31/1988,23.406012,79.45809174
1-152,India,0,12/31/1992,12/31/2000,23.406012,79.45809174
1-152,India,0,10/23/2003,12/24/2009,23.406012,79.45809174
1-153,Kenya,0,8/1/1982,8/21/1982,0.5765032,37.83988953
1-154,"Chad, Nigeria",0,4/24/1983,11/1/1983,15.367653,18.66758156
1-155,"Grenada, United States of America",0,10/25/1983,10/27/1983,12.178866,-61.6469307
1-156,India,0,12/31/1983,NULL,23.406012,79.45809174
1-156,India,1,12/31/1983,12/31/1993,23.406012,79.45809174
1-157,Sri Lanka,0,9/1/1984,NULL,7.7891335,80.6807251
1-157,Sri Lanka,1,9/1/1984,12/12/2001,7.7891335,80.6807251
1-157,Sri Lanka,1,6/14/2003,8/9/2003,7.7891335,80.6807251
1-157,Sri Lanka,1,12/2/2005,7/4/2009,7.7891335,80.6807251
1-158,Cameroon,1,1/31/1960,12/31/1961,5.6854768,12.7228775
1-158,Cameroon,1,4/6/1984,4/9/1984,5.6854768,12.7228775
1-159,Turkey,0,8/15/1984,NULL,39.05101,34.93033981
1-159,Turkey,1,8/15/1984,NULL,39.05101,34.93033981
1-16,"Albania, United Kingdom",0,10/22/1946,12/31/1946,41.111134,20.02745247
1-160,"Burkina Faso, Mali",0,12/26/1985,12/31/1985,12.284986,-1.74556065
1-161,"Laos, Thailand",0,12/31/1986,2/17/1988,18.650749,104.1529388
1-162,Suriname,0,10/12/1987,12/31/1987,4.216929,-55.8892174
1-163,Togo,0,9/23/1986,9/24/1986,8.5132265,0.980097532
1-164,South Yemen,1,1/13/1986,1/20/1986,12.7989,45.03310013
1-165,Burkina Faso,0,10/15/1987,10/15/1987,12.284986,-1.74556065
1-166,"Chad, Libya",1,8/8/1987,9/12/1987,15.367653,18.66758156
1-167,Comoros,0,11/29/1989,11/29/1989,-11.866102,43.43264008
1-168,Ethiopia,0,6/30/1975,12/31/1976,8.6267033,39.63755417
1-168,Ethiopia,0,12/31/1996,12/31/1996,8.6267033,39.63755417
1-169,India,0,12/11/1989,NULL,23.406012,79.45809174
1-169,India,1,12/11/1989,NULL,23.406012,79.45809174
1-17,Vietnam (North Vietnam),1,11/20/1946,7/20/1954,16.94043,106.8164291
1-170,India,0,12/31/1990,12/31/1991,23.406012,79.45809174
1-170,India,0,12/31/1994,10/16/2010,23.406012,79.45809174
1-171,Indonesia,0,6/6/1990,12/31/1991,-1.2480891,115.4189987
1-171,Indonesia,0,6/19/1999,NULL,-1.2480891,115.4189987
1-171,Indonesia,1,6/19/1999,10/12/2005,-1.2480891,115.4189987
1-172,Panama,0,10/3/1989,10/3/1989,8.6462479,-80.506073
1-173,"Panama, United States of America",0,12/20/1989,12/31/1989,8.6462479,-80.506073
1-174,Papua New Guinea,0,2/7/1990,10/1/1990,-6.8891597,146.214447
1-174,Papua New Guinea,0,8/2/1992,11/28/1996,-6.8891597,146.214447
1-175,Rumania,0,12/22/1989,12/23/1989,45.837742,25.00593567
1-176,"Iraq, Kuwait",1,8/2/1990,3/2/1991,33.044586,43.77495575
1-177,Mali,0,7/21/1990,9/4/1990,17.357767,-3.5273819
1-177,Mali,0,10/4/1994,12/18/1994,17.357767,-3.5273819
1-177,Mali,0,8/31/2007,1/22/2009,17.357767,-3.5273819
1-177,Mali,0,1/24/2012,3/31/2012,17.357767,-3.5273819
1-178,Niger,0,5/16/1994,9/26/1994,17.424074,9.400633812
1-179,Rwanda,1,10/3/1990,7/4/1994,-1.9999498,29.92605782
1-179,Rwanda,1,7/12/1996,3/1/2002,-1.9999498,29.92605782
1-179,Rwanda,1,2/16/2009,12/2/2012,-1.9999498,29.92605782
1-18,China,1,2/28/1947,3/24/1947,36.553085,103.9754333
1-180,Senegal,0,8/31/1990,12/31/1990,14.362512,-14.5316439
1-180,Senegal,0,9/1/1992,11/16/1993,14.362512,-14.5316439
1-180,Senegal,0,4/27/1995,12/1/1995,14.362512,-14.5316439
1-180,Senegal,0,3/18/1997,NULL,14.362512,-14.5316439
1-180,Senegal,1,3/18/1997,11/2/1998,14.362512,-14.5316439
1-180,Senegal,1,4/11/2000,12/7/2001,14.362512,-14.5316439
1-180,Senegal,1,1/20/2003,10/11/2003,14.362512,-14.5316439
1-180,Senegal,1,12/20/2011,12/30/2011,14.362512,-14.5316439
1-181,Russia (Soviet Union),0,8/22/1990,12/21/1991,63.125187,103.7539825
1-182,Russia (Soviet Union),0,1/19/1990,1/20/1990,63.125187,103.7539825
1-183,Trinidad and Tobago,0,7/30/1990,8/1/1990,10.68574,-61.1640625
1-184,Djibouti,0,11/13/1991,3/4/1994,11.742592,42.63182831
1-184,Djibouti,0,7/24/1999,8/31/1999,11.742592,42.63182831
1-185,Georgia,0,12/28/1991,12/31/1993,32.648323,-83.4445343
1-186,Haiti,0,4/8/1989,4/11/1989,19.073242,-72.2412796
1-186,Haiti,0,10/2/1991,10/2/1991,19.073242,-72.2412796
1-186,Haiti,0,2/9/2004,12/31/2004,19.073242,-72.2412796
1-187,Sierra Leone,0,4/1/1991,NULL,8.5214415,-11.8438902
1-187,Sierra Leone,1,4/1/1991,12/20/2001,8.5214415,-11.8438902
1-188,Turkey,0,7/13/1991,12/31/1992,39.05101,34.93033981
1-188,Turkey,0,6/18/2005,10/17/2005,39.05101,34.93033981
1-189,Serbia (Yugoslavia),0,6/28/1991,7/12/1991,44.232971,20.79795837
1-19,Hyderabadh,1,6/30/1947,9/18/1948,17.411409,78.48477936
